,0
Cell_stack_sequence,633
HTL_stack_sequence,230
ETL_stack_sequence,199
ETL_thickness,192
Perovskite_deposition_thermal_annealing_temperature,189
Perovskite_deposition_thermal_annealing_time,166
Perovskite_additives_compounds,161
Perovskite_composition_a_ions_coefficients,140
Perovskite_pl_max,131
Perovskite_thickness,99
Perovskite_deposition_solvents_mixing_ratios,99
Perovskite_band_gap,99
Perovskite_additives_concentrations,97
Perovskite_composition_short_form,95
Perovskite_composition_c_ions_coefficients,86
HTL_thickness_list,82
HTL_additives_compounds,71
Backcontact_thickness_list,69
ETL_deposition_procedure,65
Perovskite_deposition_solvents,64
Perovskite_composition_a_ions,58
Stability_temperature_range,47
Perovskite_deposition_synthesis_atmosphere,41
Backcontact_stack_sequence,39
Perovskite_deposition_procedure,39
HTL_additives_concentrations,35
HTL_deposition_procedure,34
Perovskite_composition_b_ions_coefficients,29
Perovskite_deposition_quenching_media,28
Backcontact_deposition_procedure,21
Substrate_stack_sequence,19
Stability_light_source_type,16
Perovskite_composition_b_ions,15
Perovskite_deposition_aggregation_state_of_reactants,13
Perovskite_composition_c_ions,11
JV_test_atmosphere,6
Stability_light_spectra,4
Cell_architecture,4
JV_light_spectra,3
JV_default_PCE_scan_direction,3
Perovskite_dimension_2D3D_mixture,2
Perovskite_dimension_2D,2
Perovskite_composition_leadfree,2
Perovskite_composition_inorganic,2
Perovskite_dimension_3D_with_2D_capping_layer,2
Perovskite_dimension_3D,2
Cell_flexible,2
Perovskite_deposition_quenching_induced_crystallisation,2
Add_lay_front,2
Add_lay_back,2
JV_default_Voc_scan_direction,2
JV_light_masked_cell,2
Encapsulation,2
JV_measured,2
EQE_measured,2
JV_default_FF_scan_direction,2
JV_default_Jsc_scan_direction,2
Stability_light_UV_filter,2
