,0
HTL_additives_concentrations,1770
Cell_area_total,1762
Stability_light_spectra,1637
Perovskite_additives_concentrations,1631
Stability_PCE_after_1000_h,1522
EQE_integrated_Jsc,1365
HTL_thickness_list,1343
JV_forward_scan_Voc,1263
JV_forward_scan_FF,1263
JV_forward_scan_Jsc,1261
JV_forward_scan_PCE,1249
Perovskite_additives_compounds,1211
Perovskite_thickness,1201
Perovskite_pl_max,1153
ETL_thickness,1029
Stability_PCE_initial_value,1014
HTL_additives_compounds,744
Perovskite_band_gap,569
Stability_relative_humidity_average_value,496
JV_reverse_scan_FF,346
JV_reverse_scan_Voc,343
JV_reverse_scan_Jsc,335
JV_default_FF_scan_direction,321
JV_default_FF,321
JV_default_Voc,317
JV_default_Voc_scan_direction,317
JV_default_Jsc,310
JV_default_Jsc_scan_direction,310
JV_reverse_scan_PCE,296
Backcontact_thickness_list,270
JV_default_PCE_scan_direction,264
JV_default_PCE,264
Perovskite_deposition_solvents_mixing_ratios,78
JV_light_spectra,67
Stability_light_intensity,51
Cell_area_measured,44
Stability_PCE_end_of_experiment,15
JV_light_intensity,15
Stability_light_source_type,12
Perovskite_composition_b_ions_coefficients,3
