Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps
-76.68793,6.1793156,-1.8085787,-14.786499,-3.4309607,-21.437254,5.255326,-5.2648582,8.560523,7.6202183,-0.03403356
-217.86086,-11.176192,-9.528111,-18.512878,-7.73227,-17.357056,0.30422658,-1.7388847,8.291193,4.0013313,-0.320088
-358.82733,-2.2014887,-3.4997754,18.160145,14.3771305,27.61404,1.6650107,3.1932747,-10.599308,6.691871,-5.5595117
-225.56625,3.5576844,-5.3293557,-9.589121,-8.161111,-13.845131,-0.53182715,-1.3125688,7.850381,6.566668,-0.29489112
-322.41183,-1.9096464,-2.4440913,9.469013,2.6438568,-15.438044,-9.573874,1.6504215,1.3978298,-18.293701,0.45818472
-331.9879,-0.8730402,-12.478559,-3.7016528,6.4707756,-1.6351857,2.0175266,-3.57069,5.8549767,-17.23874,0.47311172
-54.64376,14.379681,8.337139,35.17359,-37.43806,22.54244,3.2155173,-5.166154,-8.437684,-36.825718,-0.30867103
1304.8536,-7.776904,-243.52919,55.784073,-75.093414,-49.067722,20.451607,7.3804145,152.34912,-7.379011,5.754362
247.39883,-2.2635503,6.0935283,-40.32757,27.34499,6.505689,-14.445556,-2.2918446,7.5154285,2.9810987,-11.215672
-66.05732,14.429827,-3.9344795,-14.783012,2.9503455,37.350655,7.747177,-2.9637733,6.935941,6.4739833,1.8351667
-219.99165,5.457278,-13.072952,41.308186,-10.227207,-0.07737474,0.3979807,-5.2280335,4.4734783,6.4481225,-3.3477314
51.227337,-18.951115,-63.842957,43.564438,51.173748,-15.544966,-1.7378571,3.4412062,28.293253,3.048836,2.3612852
-50.614098,-2.3468752,-11.649017,-5.1622124,24.860937,-7.4673157,1.4405005,-6.128143,-8.642969,-7.045291,-0.45602256
-173.99048,8.768899,-12.163813,-11.733046,-3.9373899,-22.281025,-13.674616,5.4867744,5.2184725,3.4391077,0.09760874
-72.804054,-3.22277,5.8672895,-9.164404,-9.606296,15.956305,6.6843934,-3.264571,8.378604,6.512478,0.048990484
-285.34607,5.4113593,3.922186,-6.252885,5.6618648,18.526583,6.557456,-2.3396392,8.334045,7.0394154,0.16337731
820.5607,-12.271259,-43.083675,36.48092,139.32535,65.141136,4.508192,-30.682827,16.100626,-11.70099,1.9898102
-67.460686,4.263792,5.4694495,-17.036894,17.998137,12.044455,6.453,3.6429443,8.911148,7.5696325,1.2397395
-167.94112,-4.4903927,-32.929897,11.776033,-19.341072,-10.315677,-2.5748818,-0.18755713,-5.332566,-11.239584,-0.9909393
-338.66742,24.87256,-0.2634468,-6.6377764,-4.0543447,-20.568909,2.123907,0.8558446,-5.3210626,7.5074015,0.033772495
-22.104076,-3.2035377,-5.0637674,-9.381449,-14.3095255,21.617346,10.434707,-5.7622104,7.325712,-2.4301372,1.5729666
-75.71019,12.335792,4.81932,30.142748,1.0065733,2.8970115,8.951079,1.1825491,6.029197,6.692773,1.7345144
-148.18385,12.101728,-5.256899,11.344497,15.987708,29.3892,3.7027643,61.658703,4.9988217,7.865098,1.8622123
371.7804,-33.106274,-42.23025,18.420944,11.446231,-10.98864,-34.234627,-6.243884,-43.993946,36.695267,1.6011128
35.085476,30.587255,4.966888,-15.070927,-3.1776152,-32.672222,-10.3149605,-2.703884,3.7243934,5.662823,1.7741519
257.62073,-30.081156,-12.552923,-5.4106784,-12.780304,16.559757,-4.004955,2.532473,-23.2862,3.5591285,-6.252119
-234.28659,12.8949795,-6.3411183,3.1194496,-27.290186,29.258814,-0.9173253,63.88597,6.719601,-11.416282,0.19731452
-302.1998,-0.30612016,-7.679699,-6.0826,14.262909,-10.489824,0.13122766,-0.09249134,7.0615606,-9.923569,1.2462327
-300.91245,-0.92474425,-30.858788,-2.676167,10.096864,-2.4036324,-17.1144,-12.57734,3.0004845,3.7626226,0.7112984
-193.93729,-7.8266416,-17.714884,8.775865,12.332925,-12.443222,1.2009648,1.0883226,4.9217186,5.6539807,1.3762938
-104.00027,-12.094144,-15.205949,8.907478,8.693901,-12.900089,1.5709628,-0.49649382,6.5574126,4.271583,1.876734
-307.35547,-2.6911192,-1.8570514,-5.9238343,1.5439478,-15.823609,-41.785927,7.324841,5.7342243,-16.531908,0.58098114
90.830215,-19.888187,73.2758,-32.143112,-1.9289263,20.995743,5.879307,0.3876431,-8.306177,1.4941641,0.11368501
-189.69972,-1.4307756,5.828913,-3.6754863,-10.031347,-7.6137476,14.455812,-0.4925459,4.0517955,3.464705,-0.62386507
-80.15364,-9.456758,-19.040098,8.548415,2.518508,-3.1634808,-1.6781864,-2.051492,5.8211713,3.9756474,1.6327255
248.4515,-13.278821,17.907763,7.5446167,-29.56283,79.76118,-16.702787,-0.10128866,5.992622,8.30193,2.51114
256.1168,-19.899103,-14.620312,-13.851971,-15.077931,14.634788,40.252964,-7.163554,-14.943893,30.658773,1.093755
-265.6121,5.0143046,0.007989287,-6.1537967,7.584103,-8.622536,-11.71879,-17.29832,2.6375036,5.585402,-1.9687185
-178.07317,-5.91865,-6.360605,16.126844,-5.6990976,-15.292405,-1.7966012,7.20045,7.3332853,-11.577941,-0.528108
-80.933075,-0.21264972,-14.682987,-14.092877,-33.14924,-15.343151,-2.1954746,-5.137777,7.8492618,7.520789,-0.02637916
-210.4841,-8.9887085,-7.316663,11.000704,-6.264666,29.273628,-0.39335367,-1.0033269,-12.492482,7.228387,-0.2992936
1373.1895,98.706024,126.78437,-100.14687,43.4277,-130.20886,20.47228,12.562961,159.86194,78.42724,3.5392916
330.4052,6.0268126,93.416794,61.725468,19.217648,35.332703,2.1928003,77.645195,3.5200086,4.957373,1.0212194
170.98224,-35.288395,-46.989147,-17.097748,-7.752434,-11.794456,-103.52031,-23.669495,2.2973034,1.0361067,2.5919693
-41.923435,7.7634864,-7.3969584,-1.2601004,20.526514,-25.820751,9.979226,-3.0775208,5.672175,6.1032343,1.0486718
305.81412,13.713888,-10.515901,32.310665,25.631435,39.430016,-3.7950394,121.513756,6.9045787,10.023666,2.2578058
154.81528,-39.14409,-151.70526,-3.9146945,-23.037788,12.411121,9.541833,-4.469762,5.8030066,27.383352,1.1495764
-335.09442,3.8398829,-6.4363785,-2.0760834,-28.08075,10.017414,-4.406919,-0.22802365,6.4605126,7.096624,0.06936041
-332.0159,1.2786306,-7.053485,-5.3320355,-8.179341,-11.034681,-1.0987518,-1.0660117,8.346026,-9.72978,0.26236048
-275.7508,-2.951987,-5.2227516,-9.094737,7.75871,-15.11817,5.084443,-21.237822,7.112693,6.783405,0.7287985
56.035816,43.12504,0.37286824,-28.482597,-81.62854,10.547813,-4.286513,-17.217941,4.5803413,-115.96244,-0.3916139
119.050446,-2.8382304,-38.04162,-48.096474,6.1898365,-2.4250362,-115.02556,-24.075008,-1.6453495,33.11837,1.4019059
-111.41926,2.8912573,-16.921507,-31.961603,12.902241,18.018284,-7.8212214,-4.827656,6.93935,2.1365612,1.8590803
-313.47263,-5.1458063,1.6298263,-3.6965442,-3.9995823,-15.594839,2.407805,-2.1475346,5.301503,4.7806973,0.11358981
-285.16254,-1.3864888,-19.365473,0.97148347,-6.7040486,3.5723805,1.6587348,-1.0488832,5.5043826,7.7422066,-1.4352515
-246.20332,-0.74729836,-16.577753,7.944127,19.792097,-2.0893078,3.1519403,-1.5434959,3.9630451,4.3731694,-2.7457516
-73.51479,1.2880708,-20.050379,-21.473536,14.203333,-1.2266684,-5.634126,-27.764257,7.261265,4.571858,1.3015443
1279.5725,-36.50895,-20.294792,-34.622864,16.325832,47.843838,34.55423,-103.13047,274.99796,-8.475241,5.236428
43.48916,-10.887474,0.1409546,-46.11432,31.010405,-16.260592,-48.20666,1.7397963,-44.272587,-9.410995,1.8750961
-214.06973,-12.356471,-6.140579,11.675531,-7.4254956,14.758186,33.02934,-1.3344772,-9.524243,7.2907205,-0.3443635
283.15253,-21.843124,9.445856,8.715591,0.6768816,-0.030955017,-4.445317,52.835007,7.6748223,4.5662913,1.2370805
-187.61818,11.596294,-26.980276,-6.248906,-12.796167,-10.57025,1.5150895,13.18137,-4.7865467,5.508143,-4.721494
-87.40102,22.116722,-5.3198166,-16.405153,-5.656245,-20.038927,-7.066526,-1.4380224,6.1795287,7.0170817,-0.64279705
-266.4998,-17.743433,-0.36580408,25.929184,-2.0885224,12.033716,2.6969428,-1.1500263,5.7018485,5.714948,-0.0149102
1025.4501,18.97993,-84.00402,54.839767,216.62134,80.08845,79.7187,199.21562,-40.40448,14.553832,-1.3699673
-64.36965,-11.096861,-31.26827,7.4832497,-10.775742,-20.987669,-13.993907,-6.778464,0.53782046,2.795355,-0.42072555
4047.5122,196.64626,230.72934,140.96846,27.941551,32.52164,49.610973,24.413628,176.28174,8.414582,1.3655688
-49.987656,-17.193644,3.4329717,21.53546,-4.941321,28.43698,7.044828,-3.330827,6.552218,4.58873,0.074122176
-245.8389,-1.6944149,-14.329302,-7.0204124,-4.686378,-13.617127,-7.879407,-1.3986561,5.3269553,5.576847,-0.992614
-156.11256,5.511715,-25.305168,21.081722,-6.407817,-17.378807,0.71711016,1.3169652,-5.9885798,7.87916,-3.4493337
930.69696,22.320293,-87.01332,7.9876366,156.46703,142.37425,-5.955544,258.2721,-39.216263,13.6084175,-5.3374863
1639.021,45.188934,54.58381,63.2955,30.682922,-70.918396,28.340462,70.40752,179.68733,-0.6066037,5.9339066
-194.84132,17.118267,-0.6815239,-0.34782314,-0.5340131,22.008135,2.7952502,-3.0464628,6.0370016,-19.532078,1.2724538
-227.85262,5.435588,-22.450333,-9.696877,17.017754,-13.737906,-0.18964946,0.32541984,6.8060665,3.4371755,1.2009126
